DateTime,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),holdings,Assets Under Management
05/10/2024,ProShares Bitcoin ETF,BITO,24.6272,25.3883,-2.99784,-0.7611,81010,1995049497
05/13/2024,ProShares Bitcoin ETF,BITO,25.6583,24.6272,4.18683,1.0311,81160,2082427654
05/14/2024,ProShares Bitcoin ETF,BITO,24.9971,25.6583,-2.57694,-0.6612,81760,2043762921
05/15/2024,ProShares Bitcoin ETF,BITO,26.8842,24.9971,7.54928,1.8871,81440,2189449275
05/16/2024,ProShares Bitcoin ETF,BITO,26.4654,26.8842,-1.55779,-0.4188,81440,2155342202
05/17/2024,ProShares Bitcoin ETF,BITO,27.2446,26.4654,2.94422,0.7792,81260,2213896223
05/20/2024,ProShares Bitcoin ETF,BITO,28.4853,27.2446,4.55393,1.2407,81260,2314715506
05/21/2024,ProShares Bitcoin ETF,BITO,28.1106,28.4853,-1.31542,-0.3747,80160,2253345724
05/22/2024,ProShares Bitcoin ETF,BITO,28.2419,28.1106,0.46708,0.1313,80040,2260481704
05/23/2024,ProShares Bitcoin ETF,BITO,27.1917,28.2419,-3.71859,-1.0502,79660,2166090849
05/24/2024,ProShares Bitcoin ETF,BITO,28.1165,27.1917,3.40104,0.9248,80070,2251288183
05/28/2024,ProShares Bitcoin ETF,BITO,27.7146,28.1165,-1.42941,-0.4019,79610,2206359334
05/29/2024,ProShares Bitcoin ETF,BITO,27.1992,27.7146,-1.85967,-0.5154,78610,2138129139
