Date,GLD Close,LBMA Gold Price,NAV per GLD in Gold,NAV/share at 10.30 a.m. NYT,Indicative Price of GLD at 4.15 p.m. NYT,Mid point of bid/ask spread at 4.15 p.m. NYT#,Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT,Daily Share Volume,Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT,Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT,Total Net Asset Value in the Trust
2-Apr-14,124.32,"$1,292.00",96.34674,124.48,124.311,$124.32,0.01%,4375154,26073761.63,810.98,3.37E+10
3-Apr-14,123.92,"$1,284.00",96.34541,123.7075,123.987,$123.94,-0.04%,3298489,26073761.63,810.98,3.35E+10
4-Apr-14,125.57,"$1,297.25",96.34482,124.9833,125.557,$125.58,0.02%,6544864,26015954.73,809.18,3.37E+10
7-Apr-14,124.91,"$1,299.00",96.34172,125.1479,124.897,$124.90,0.00%,3611340,26015954.73,809.18,3.38E+10
8-Apr-14,126.09,"$1,309.50",96.34106,126.1586,126.067,$126.08,0.01%,6938407,25929247.78,806.48,3.39E+10
9-Apr-14,126.32,"$1,301.75",96.33971,125.4102,126.277,$126.34,0.05%,4661293,25929247.78,806.48,3.37E+10
10-Apr-14,127,"$1,320.50",96.33938,127.2162,126.985,$127.01,0.02%,4608696,25920818.8,806.22,3.42E+10
11-Apr-14,126.93,"$1,318.00",96.33829,126.9739,126.984,$126.94,-0.03%,3783741,25863015.83,804.42,3.41E+10
14-Apr-14,127.85,"$1,325.75",96.33526,127.7165,127.856,$127.84,-0.01%,6679670,25920816.99,806.22,3.44E+10
15-Apr-14,125.49,"$1,298.00",96.33368,125.0411,125.497,$125.51,0.01%,8824010,25940083.72,806.82,3.37E+10
16-Apr-14,125.54,"$1,301.50",96.33269,125.377,125.481,$125.56,0.06%,3741974,25670352.19,798.43,3.34E+10
17-Apr-14,124.75,"$1,299.00",96.33158,125.1347,124.764,$124.75,-0.01%,4888255,25564387.45,795.14,3.32E+10
18-Apr-14,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
21-Apr-14,124.24,"$1,299.00",96.32736,125.1292,124.243,$124.26,0.01%,6200182,25468060.09,792.14,3.31E+10
22-Apr-14,123.78,"$1,286.75",96.32599,123.9475,123.793,$123.77,-0.02%,6314525,25468060.09,792.14,3.28E+10
23-Apr-14,123.76,"$1,285.25",96.32489,123.8016,123.761,$123.75,-0.01%,3394327,25468060.09,792.14,3.27E+10
24-Apr-14,124.56,"$1,291.50",96.32401,124.4025,124.6,$124.55,-0.04%,8249089,25468060.09,792.14,3.29E+10
25-Apr-14,125.43,"$1,301.25",96.32323,125.3406,125.379,$125.45,0.06%,7212372,25468060.09,792.14,3.31E+10
28-Apr-14,124.88,"$1,299.00",96.31999,125.1197,124.959,$124.88,-0.06%,4387208,25468060.09,792.14,3.31E+10
29-Apr-14,124.86,"$1,297.75",96.3189,124.9978,124.873,$124.85,-0.02%,4933425,25468060.09,792.14,3.30E+10
30-Apr-14,124.22,"$1,288.50",96.31754,124.1052,124.389,$124.24,-0.12%,7254105,25333215.54,787.94,3.26E+10
1-May-14,123.8,"$1,278.50",96.31615,123.1402,123.79,$123.78,-0.01%,6672066,25256162.62,785.55,3.23E+10
2-May-14,125.06,"$1,281.25",96.31519,123.4038,125.041,$125.05,0.01%,9907065,25169478.95,782.85,3.22E+10
5-May-14,126.22,"$1,281.25",96.31202,123.3998,126.125,$126.25,0.10%,4527231,25169478.95,782.85,3.22E+10
6-May-14,125.98,"$1,306.25",96.31191,125.8074,125.937,$125.97,0.03%,3284539,25169478.95,782.85,3.29E+10
7-May-14,124.17,"$1,296.00",96.31046,124.8184,124.188,$124.19,0.00%,7541093,25169478.95,782.85,3.26E+10
8-May-14,124.17,"$1,287.00",96.30905,123.9498,124.166,$124.16,-0.01%,3500977,25169478.95,782.85,3.24E+10
9-May-14,124.1,"$1,291.25",96.30817,124.3579,124.194,$124.13,-0.05%,2823068,25169478.95,782.85,3.25E+10
12-May-14,124.94,"$1,298.75",96.30532,125.0765,124.749,$124.92,0.14%,3475975,25092434.69,780.46,3.26E+10
13-May-14,124.6,"$1,296.50",96.30417,124.8584,124.642,$124.59,-0.04%,2184067,25092434.69,780.46,3.25E+10
14-May-14,125.81,"$1,305.25",96.30349,125.7001,125.792,$125.79,0.00%,3300005,25092434.69,780.46,3.27E+10
15-May-14,124.77,"$1,299.00",96.30216,125.0965,124.817,$124.79,-0.02%,5858698,25150215.99,782.25,3.27E+10
16-May-14,124.5,"$1,291.50",96.30076,124.3724,124.536,$124.52,-0.01%,3475010,25141595.87,781.98,3.25E+10
19-May-14,124.58,"$1,302.00",96.29783,125.3798,124.633,$124.58,-0.04%,3628005,25141595.87,781.98,3.27E+10
20-May-14,124.69,"$1,295.50",96.29663,124.7523,124.67,$124.68,0.01%,3581711,25083817.9,780.19,3.25E+10
21-May-14,124.39,"$1,287.25",96.29537,123.9562,124.365,$124.38,0.01%,6824830,24977892.99,776.89,3.21E+10
22-May-14,124.68,"$1,298.50",96.2946,125.0385,124.668,$124.68,0.01%,3221150,24977892.99,776.89,3.24E+10
23-May-14,124.51,"$1,291.50",96.29336,124.3629,124.507,$124.50,-0.01%,1919996,24977892.99,776.89,3.22E+10
26-May-14,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
27-May-14,121.85,"$1,275.50",96.28867,122.8162,121.863,$121.87,0.01%,10889671,25247501.26,785.28,3.22E+10
28-May-14,121.2,"$1,263.50",96.28724,121.6589,121.192,$121.21,0.01%,6293600,25247501.26,785.28,3.19E+10
29-May-14,120.94,"$1,255.00",96.28591,120.8388,120.964,$120.94,-0.02%,5223417,25247501.26,785.28,3.17E+10
30-May-14,120.43,"$1,250.50",96.2847,120.404,120.404,$120.45,0.04%,7566168,25247501.26,785.28,3.16E+10
2-Jun-14,119.7,"$1,247.25",96.28142,120.087,119.726,$119.72,-0.01%,5140005,25247501.26,785.28,3.15E+10
3-Jun-14,120.01,"$1,242.75",96.2802,119.6522,119.989,$120.02,0.03%,4615505,25305269.38,787.08,3.14E+10
4-Jun-14,119.76,"$1,245.25",96.27924,119.8917,119.723,$119.75,0.02%,3597844,25305269.38,787.08,3.15E+10
5-Jun-14,120.66,"$1,252.50",96.27846,120.5888,120.685,$120.66,-0.02%,3841343,25305269.38,787.08,3.17E+10
6-Jun-14,120.61,"$1,247.50",96.27721,120.1058,120.587,$120.62,0.03%,4476796,25305269.38,787.08,3.16E+10
9-Jun-14,120.65,"$1,253.50",96.2743,120.6798,120.68,$120.67,-0.01%,2146048,25305269.38,787.08,3.17E+10
10-Jun-14,121.39,"$1,259.50",96.2735,121.2565,121.382,$121.38,0.00%,3084299,25305269.38,787.08,3.19E+10
11-Jun-14,121.41,"$1,262.00",96.27255,121.496,121.332,$121.40,0.06%,3272082,25305269.38,787.08,3.19E+10
12-Jun-14,122.64,"$1,265.75",96.27166,121.8558,122.689,$122.63,-0.05%,6598654,25305269.38,787.08,3.20E+10
13-Jun-14,122.96,"$1,273.00",96.27092,122.5529,122.938,$122.93,-0.01%,3498176,25305269.38,787.08,3.22E+10
16-Jun-14,122.42,"$1,276.25",96.26791,122.8619,122.395,$122.44,0.04%,5333144,25170494.31,782.88,3.21E+10
17-Jun-14,122.28,"$1,267.50",96.26644,122.0177,122.297,$122.28,-0.01%,3765664,25162030.61,782.62,3.19E+10
18-Jun-14,122.67,"$1,269.75",96.26543,122.233,122.7,$122.66,-0.03%,4190810,25162030.61,782.62,3.19E+10
19-Jun-14,126.94,"$1,293.00",96.26492,124.4705,126.877,$126.93,0.04%,21744427,25162030.61,782.62,3.25E+10
20-Jun-14,126.5,"$1,312.50",96.26432,126.3469,126.578,$126.51,-0.05%,8652177,25162030.61,782.62,3.30E+10
23-Jun-14,126.85,"$1,313.50",96.26118,126.4391,126.814,$126.85,0.03%,4650816,25239039.56,785.02,3.31E+10
24-Jun-14,126.98,"$1,318.50",96.26026,126.9191,126.987,$126.98,-0.01%,5850674,25239039.56,785.02,3.33E+10
25-Jun-14,126.99,"$1,316.75",96.25915,126.7492,126.995,$126.98,-0.01%,6502612,25239039.56,785.02,3.32E+10
26-Jun-14,126.73,"$1,311.75",96.25796,126.2664,126.704,$126.71,0.00%,5245104,25239039.56,785.02,3.31E+10
27-Jun-14,126.66,"$1,317.50",96.25707,126.8187,126.679,$126.67,-0.01%,4069330,25239039.56,785.02,3.32E+10
30-Jun-14,128.04,"$1,315.00",96.25383,126.5738,127.748,$128.01,0.21%,18081846,25421921.83,790.7,3.34E+10
1-Jul-14,127.7,"$1,327.50",96.25316,127.7761,127.747,$127.71,-0.03%,7936219,25604802.84,796.39,3.40E+10
2-Jul-14,127.7,"$1,326.50",96.25208,127.6784,127.669,$127.70,0.02%,5495297,25604802.84,796.39,3.39E+10
3-Jul-14,127,"$1,317.50",96.25073,126.8103,127.012,$127.04,0.02%,5048162,25604802.84,796.39,3.37E+10
4-Jul-14,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
7-Jul-14,127.02,"$1,313.00",96.24634,126.3714,126.983,$127.02,0.03%,4068239,25662550.64,798.19,3.37E+10
8-Jul-14,127.07,"$1,323.00",96.24565,127.333,127.011,$127.06,0.04%,6210906,25729922.6,800.28,3.40E+10
9-Jul-14,127.84,"$1,322.80",96.24459,127.3075,127.765,$127.83,0.05%,8051630,25729922.6,800.28,3.40E+10
10-Jul-14,128.54,"$1,340.30",96.24419,128.9913,128.573,$128.56,-0.01%,6080968,25722320.36,800.05,3.45E+10
11-Jul-14,128.78,"$1,335.00",96.24305,128.4845,128.725,$128.75,0.02%,4117806,25722320.36,800.05,3.43E+10
14-Jul-14,125.72,"$1,306.00",96.23932,125.6886,125.775,$125.73,-0.04%,10601188,26001414.39,808.73,3.39E+10
15-Jul-14,124.53,"$1,310.00",96.23835,126.0722,124.59,$124.53,-0.05%,9842091,26001414.39,808.73,3.41E+10
16-Jul-14,124.97,"$1,301.00",96.2371,125.2045,124.916,$124.96,0.04%,3822996,25914801,806.03,3.37E+10
17-Jul-14,127.07,"$1,302.50",96.23608,125.3475,127.032,$127.07,0.03%,10868957,25828188.53,803.34,3.36E+10
18-Jul-14,126.13,"$1,307.25",96.23514,125.8034,126.087,$126.16,0.06%,5642841,25885929.61,805.14,3.38E+10
21-Jul-14,126.34,"$1,311.50",96.23208,126.2084,126.353,$126.35,0.00%,3182179,25828190.36,803.34,3.39E+10
22-Jul-14,125.74,"$1,310.25",96.23099,126.0867,125.697,$125.73,0.03%,3695260,25876305.86,804.84,3.39E+10
23-Jul-14,125.62,"$1,308.00",96.22988,125.8687,125.57,$125.63,0.05%,3075787,25895551.83,805.44,3.39E+10
24-Jul-14,124.35,"$1,292.75",96.2284,124.3993,124.375,$124.37,0.00%,7642514,25780077.75,801.84,3.33E+10
25-Jul-14,125.79,"$1,294.75",96.2274,124.5904,125.793,$125.80,0.01%,5289495,25780077.75,801.84,3.34E+10
28-Jul-14,125.58,"$1,304.50",96.22454,125.5249,125.602,$125.60,0.00%,3058265,25780077.75,801.84,3.36E+10
29-Jul-14,125.2,"$1,299.25",96.22332,125.0181,125.158,$125.19,0.03%,5106623,25780077.75,801.84,3.35E+10
30-Jul-14,124.83,"$1,294.50",96.22211,124.5595,124.781,$124.85,0.06%,5178893,25780077.75,801.84,3.34E+10
31-Jul-14,123.39,"$1,285.25",96.22074,123.6677,123.538,$123.39,-0.12%,8632094,25780077.75,801.84,3.31E+10
1-Aug-14,124.39,"$1,291.25",96.21989,124.2439,124.475,$124.40,-0.06%,6854486,25780077.75,801.84,3.33E+10
4-Aug-14,123.99,"$1,290.50",96.2167,124.1677,123.97,$124.01,0.03%,6496247,25722347.73,800.05,3.32E+10
5-Aug-14,123.87,"$1,284.75",96.21543,123.6128,123.954,$123.90,-0.04%,7305535,25722347.73,800.05,3.30E+10
6-Aug-14,125.67,"$1,306.50",96.21522,125.7052,125.715,$125.73,0.01%,8752486,25645375.56,797.65,3.35E+10
7-Aug-14,126.18,"$1,305.25",96.21412,125.5835,126.194,$126.21,0.01%,6999493,25645375.56,797.65,3.35E+10
8-Aug-14,126.19,"$1,309.75",96.21324,126.0153,126.174,$126.19,0.01%,5735520,25587647.61,795.86,3.35E+10
11-Aug-14,125.96,"$1,307.25",96.20997,125.7705,125.905,$125.98,0.06%,3070873,25587647.61,795.86,3.34E+10
12-Aug-14,125.99,"$1,315.75",96.20928,126.5874,125.996,$126.00,0.00%,4386517,25587647.61,795.86,3.36E+10
13-Aug-14,126.2,"$1,312.00",96.20806,126.225,126.215,$126.19,-0.02%,3678567,25579227.46,795.6,3.36E+10
14-Aug-14,126.31,"$1,313.50",96.20704,126.3679,126.339,$126.31,-0.02%,3186311,25579227.46,795.6,3.36E+10
15-Aug-14,125.48,"$1,296.00",96.20561,124.6825,125.51,$125.50,-0.01%,12576726,25579227.46,795.6,3.31E+10
18-Aug-14,124.96,"$1,296.75",96.20247,124.7505,124.929,$124.97,0.03%,4809236,25646569.19,797.69,3.32E+10
19-Aug-14,124.68,"$1,296.50",96.20141,124.7251,124.701,$124.69,-0.01%,5023156,25694669.89,799.19,3.33E+10
20-Aug-14,124.22,"$1,295.00",96.20031,124.5794,124.219,$124.23,0.01%,4228160,25723529.99,800.08,3.33E+10
21-Aug-14,122.88,"$1,275.25",96.19873,122.6774,122.903,$122.90,0.00%,7458496,25723529.99,800.08,3.28E+10
22-Aug-14,123.19,"$1,277.25",96.19773,122.8685,123.239,$123.21,-0.02%,4535034,25723529.99,800.08,3.28E+10
25-Aug-14,122.74,"$1,277.25",96.19457,122.8645,122.764,$122.75,-0.01%,4754204,25627335.42,797.09,3.27E+10
26-Aug-14,123.35,"$1,286.00",96.19379,123.7052,123.378,$123.36,-0.01%,3726817,25579238.52,795.6,3.29E+10
27-Aug-14,123.33,"$1,282.75",96.19263,123.3911,123.367,$123.32,-0.04%,2705363,25579238.52,795.6,3.28E+10
28-Aug-14,124,"$1,292.00",96.19188,124.2799,124.049,$124.02,-0.02%,3027713,25579238.52,795.6,3.30E+10
29-Aug-14,123.86,"$1,285.75",96.19061,123.6771,123.855,$123.85,0.00%,3682647,25560000.4,795,3.28E+10
1-Sep-14,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
2-Sep-14,121.65,"$1,267.00",96.18569,121.8673,121.742,$121.68,-0.05%,9172912,25502288.99,793.2,3.23E+10
3-Sep-14,122.15,"$1,265.50",96.18458,121.7216,122.135,$122.14,0.00%,3241928,25415722.86,790.51,3.21E+10
4-Sep-14,121.48,"$1,271.50",96.18376,122.2977,121.446,$121.47,0.02%,7033052,25261828.85,785.72,3.21E+10
5-Sep-14,122.06,"$1,266.00",96.18249,121.767,122.022,$122.03,0.01%,3480324,25261828.85,785.72,3.20E+10
8-Sep-14,120.73,"$1,259.00",96.17902,121.0894,120.753,$120.77,0.01%,7011841,25261828.85,785.72,3.18E+10
9-Sep-14,120.87,"$1,255.75",96.17782,120.7753,120.862,$120.86,0.00%,5981094,25261828.85,785.72,3.17E+10
10-Sep-14,120.26,"$1,251.00",96.17654,120.3169,120.24,$120.28,0.03%,6795288,25358005.39,788.72,3.17E+10
11-Sep-14,119.47,"$1,241.25",96.17503,119.3773,119.44,$119.48,0.03%,7461368,25347990.48,788.4,3.15E+10
12-Sep-14,118.38,"$1,231.50",96.1738,118.438,118.332,$118.37,0.03%,7554959,25347990.48,788.4,3.12E+10
15-Sep-14,118.64,"$1,234.25",96.17069,118.6987,118.665,$118.65,-0.01%,4454782,25347990.48,788.4,3.13E+10
16-Sep-14,118.83,"$1,232.25",96.1696,118.505,118.818,$118.81,-0.01%,6386131,25213353.04,784.22,3.11E+10
17-Sep-14,117.54,"$1,236.00",96.16863,118.8644,117.576,$117.55,-0.02%,8119583,25213353.04,784.22,3.12E+10
18-Sep-14,117.78,"$1,220.50",96.16721,117.3721,117.814,$117.78,-0.03%,5135816,25213353.04,784.22,3.08E+10
19-Sep-14,117.09,"$1,219.75",96.16613,117.2986,117.073,$117.10,0.02%,10887356,24963321.1,776.44,3.04E+10
22-Sep-14,116.85,"$1,213.50",96.1628,116.6936,116.857,$116.86,0.00%,7417384,24905623.42,774.65,3.02E+10
23-Sep-14,117.6,"$1,222.00",96.16199,117.5099,117.596,$117.59,-0.01%,4493555,24867158.63,773.45,3.04E+10
24-Sep-14,117.05,"$1,217.25",96.16079,117.0517,117.047,$117.05,0.00%,5584808,24867158.63,773.45,3.03E+10
25-Sep-14,117.39,"$1,213.75",96.15963,116.7138,117.43,$117.40,-0.03%,7408266,24867158.63,773.45,3.02E+10
26-Sep-14,117.06,"$1,213.75",96.15858,116.7125,117.063,$117.08,0.01%,3995241,24828695.19,772.25,3.01E+10
29-Sep-14,117.03,"$1,219.50",96.15561,117.2618,117.002,$117.00,0.00%,3445258,24828695.19,772.25,3.03E+10
30-Sep-14,116.21,"$1,216.50",96.15446,116.9719,116.251,$116.22,-0.03%,9784405,24751771.63,769.86,3.01E+10
1-Oct-14,116.77,"$1,216.50",96.1534,116.9706,116.802,$116.79,-0.01%,7009230,24713310.27,768.66,3.00E+10
2-Oct-14,116.74,"$1,211.75",96.15217,116.5124,116.69,$116.73,0.03%,6109966,24674849.4,767.47,2.99E+10
3-Oct-14,114.61,"$1,195.00",96.15047,114.8998,114.592,$114.60,0.01%,10923342,24674849.4,767.47,2.95E+10
6-Oct-14,116.03,"$1,195.75",96.14735,114.9682,116.059,$116.05,-0.01%,7301796,24674849.4,767.47,2.95E+10
7-Oct-14,116.36,"$1,210.50",96.14691,116.3858,116.395,$116.37,-0.02%,5085992,24674849.4,767.47,2.99E+10
8-Oct-14,117.49,"$1,217.00",96.14613,117.0098,117.5,$117.47,-0.03%,10188099,24501786.36,762.08,2.98E+10
9-Oct-14,117.64,"$1,226.75",96.1455,117.9465,117.663,$117.65,-0.01%,6253842,24501786.36,762.08,3.00E+10
10-Oct-14,117.59,"$1,219.00",96.1441,117.1997,117.68,$117.60,-0.07%,4438246,24416747.43,759.44,2.98E+10
13-Oct-14,118.52,"$1,229.00",96.14115,118.1575,118.523,$118.52,0.00%,5393347,24474432.12,761.23,3.01E+10
14-Oct-14,118.59,"$1,234.75",96.14021,118.7091,118.599,$118.58,-0.02%,5006647,24474432.12,761.23,3.02E+10
15-Oct-14,118.99,"$1,237.50",96.13922,118.9723,118.987,$119.00,0.01%,9270501,24407134.67,759.14,3.02E+10
16-Oct-14,119.22,"$1,237.75",96.13817,118.995,119.221,$119.19,-0.03%,6542336,24464817.57,760.93,3.03E+10
17-Oct-14,118.99,"$1,234.25",96.13703,118.6571,118.998,$119.00,0.00%,6091822,24464817.57,760.93,3.02E+10
20-Oct-14,119.8,"$1,244.50",96.13414,119.6389,119.807,$119.80,-0.01%,2724077,24176415.15,751.96,3.01E+10
21-Oct-14,120.02,"$1,250.25",96.13323,120.1906,120.027,$120.01,-0.01%,4145445,24176415.15,751.96,3.02E+10
22-Oct-14,119.34,"$1,243.75",96.132,119.5642,119.367,$119.35,-0.01%,3834033,24109122.75,749.87,3.00E+10
23-Oct-14,118.52,"$1,232.75",96.13063,118.505,118.539,$118.50,-0.03%,5728196,24109122.75,749.87,2.97E+10
24-Oct-14,118.35,"$1,232.75",96.12958,118.5037,118.36,$118.36,0.00%,3607576,23964928.38,745.39,2.95E+10
27-Oct-14,118.06,"$1,228.75",96.12629,118.1152,117.904,$118.07,0.14%,2197587,23964928.38,745.39,2.94E+10
28-Oct-14,118.1,"$1,229.25",96.12525,118.162,118.099,$118.11,0.01%,2816495,23907253.23,743.59,2.94E+10
29-Oct-14,116.41,"$1,223.50",96.124,117.6077,116.522,$116.43,-0.08%,7835790,23868803.63,742.4,2.92E+10
30-Oct-14,115.19,"$1,202.00",96.12217,115.5388,115.231,$115.20,-0.03%,7136013,23830354.76,741.2,2.86E+10
31-Oct-14,112.66,"$1,164.25",96.11964,111.9073,112.748,$112.64,-0.10%,16757315,23830354.76,741.2,2.77E+10
3-Nov-14,112.15,"$1,167.75",96.11663,112.2402,112.13,$112.17,0.04%,6397709,23830654.76,741.21,2.78E+10
4-Nov-14,112.22,"$1,166.50",96.11552,112.1188,112.191,$112.21,0.02%,5974426,23753762.35,738.82,2.77E+10
5-Nov-14,109.79,"$1,142.00",96.11335,109.7614,109.752,$109.81,0.05%,12117376,23657349,735.82,2.70E+10
6-Nov-14,109.88,"$1,145.00",96.11244,110.0487,109.943,$109.89,-0.05%,6361446,23561236.56,732.83,2.70E+10
7-Nov-14,112.97,"$1,154.50",96.11184,110.9611,112.999,$112.95,-0.04%,9168874,23378624.06,727.15,2.70E+10
10-Nov-14,110.46,"$1,162.00",96.10906,111.6787,110.376,$110.44,0.06%,7565037,23320958.63,725.36,2.71E+10
11-Nov-14,112.04,"$1,156.50",96.10773,111.1486,112.062,$112.06,0.00%,8011747,23292126.31,724.46,2.69E+10
12-Nov-14,111.5,"$1,164.50",96.10709,111.9167,111.518,$111.51,-0.01%,4564800,23234462.05,722.67,2.70E+10
13-Nov-14,111.67,"$1,161.75",96.10589,111.651,111.637,$111.68,0.04%,4499920,23168508.44,720.62,2.69E+10
14-Nov-14,114.47,"$1,169.00",96.10502,112.3468,114.461,$114.46,0.00%,13318601,23168508.44,720.62,2.71E+10
17-Nov-14,114.05,"$1,182.50",96.10223,113.6409,114.064,$114.03,-0.03%,4982472,23245390.23,723.01,2.75E+10
18-Nov-14,115.05,"$1,192.75",96.10145,114.625,114.985,$115.04,0.05%,5021275,23245390.23,723.01,2.77E+10
19-Nov-14,113.68,"$1,196.00",96.10049,114.9362,113.668,$113.70,0.03%,11252491,23178119.88,720.91,2.77E+10
20-Nov-14,114.86,"$1,190.00",96.09926,114.3581,114.858,$114.85,-0.01%,5093330,23178119.88,720.91,2.76E+10
21-Nov-14,115.39,"$1,203.75",96.09862,115.6787,115.376,$115.40,0.02%,6253478,23178119.88,720.91,2.79E+10
24-Nov-14,115.11,"$1,197.50",96.09526,115.0741,115.113,$115.12,0.01%,4403970,23178119.88,720.91,2.77E+10
