Date,GLD Close,LBMA Gold Price,NAV per GLD in Gold,NAV/share at 10.30 a.m. NYT,Indicative Price of GLD at 4.15 p.m. NYT,Mid point of bid/ask spread at 4.15 p.m. NYT#,Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT,Daily Share Volume,Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT,Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT,Total Net Asset Value in the Trust
23-Dec-14,112.74,"$1,175.75",96.0645,112.9478,112.761,$112.76,0.00%,7760476,22920434.98,712.9,2.69E+10
24-Dec-14,112.77,"$1,175.75",96.06349,113.0667,112.884,$112.76,-0.11%,1492616,22920434.98,712.9,2.70E+10
25-Dec-14,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
26-Dec-14,114.83,"$1,175.75",96.06138,113.0642,114.832,$114.81,-0.02%,3705059,22901222.7,712.3,2.69E+10
29-Dec-14,113.67,"$1,185.50",96.05853,113.8774,113.714,$113.69,-0.02%,11922684,22901222.7,712.3,2.71E+10
30-Dec-14,115.2,"$1,206.00",96.05823,115.8462,115.155,$115.22,0.06%,7977987,22853193.59,710.81,2.75E+10
31-Dec-14,113.58,"$1,206.00",96.05692,115.1963,113.712,$113.57,-0.13%,7602791,22795559.43,709.02,2.73E+10
1-Jan-15,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
2-Jan-15,114.08,"$1,172.00",96.05373,112.575,114.016,$114.07,0.05%,6711056,22795559.43,709.02,2.67E+10
5-Jan-15,115.8,"$1,200.00",96.05176,115.2621,115.742,$115.85,0.09%,8170353,22853190.49,710.81,2.74E+10
6-Jan-15,117.12,"$1,210.25",96.05114,116.2459,117.077,$117.10,0.02%,11232282,22757139.35,707.82,2.75E+10
7-Jan-15,116.43,"$1,210.50",96.0501,116.2686,116.451,$116.44,-0.01%,6430296,22661089.25,704.83,2.74E+10
8-Jan-15,115.94,"$1,215.50",96.04927,116.7479,115.97,$115.95,-0.02%,6075677,22661089.25,704.83,2.75E+10
9-Jan-15,117.26,"$1,217.75",96.04831,116.9628,117.256,$117.28,0.02%,7081171,22757137.56,707.82,2.77E+10
12-Jan-15,118.56,"$1,226.50",96.04556,117.7999,118.549,$118.53,-0.02%,7204953,22757137.56,707.82,2.79E+10
13-Jan-15,118.16,"$1,231.50",96.04474,118.2791,118.183,$118.18,0.00%,7025916,22757137.56,707.82,2.80E+10
14-Jan-15,117.97,"$1,235.00",96.04385,118.6142,117.999,$117.94,-0.05%,6430290,22749770.73,707.59,2.81E+10
15-Jan-15,120.94,"$1,259.00",96.04333,120.9185,120.89,$120.95,0.05%,15812974,23057109.38,717.15,2.90E+10
16-Jan-15,122.52,"$1,277.50",96.04268,122.6945,122.483,$122.54,0.05%,14420996,23498905.71,730.89,3.00E+10
19-Jan-15,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
20-Jan-15,124.2,"$1,288.75",96.03875,123.7699,124.14,$124.18,0.03%,14960939,23863852.96,742.24,3.07E+10
21-Jan-15,124.23,"$1,293.50",96.03781,124.2249,124.215,$124.23,0.01%,11080734,23806230.27,740.45,3.08E+10
22-Jan-15,125.23,"$1,295.75",96.03681,124.4397,125.184,$125.20,0.01%,10020344,23806230.27,740.45,3.08E+10
23-Jan-15,124.23,"$1,294.75",96.03573,124.3423,124.241,$124.25,0.01%,6264921,23844644.57,741.65,3.09E+10
26-Jan-15,122.98,"$1,281.25",96.03219,123.0412,122.96,$122.99,0.02%,6179633,23902263.88,743.44,3.06E+10
